run_id,seed,method,n_features,accuracy,precision,recall,f1,roc_auc,training_time
5,47,rfe,10,0.9339818357844267,0.9341911086515403,0.9997532326522555,0.9658608687359939,0.6224245104318866,0.042137861251831055
5,47,rfecv,28,0.9355032040938638,0.9370279412446133,0.9980258612180436,0.9665654948258968,0.6767351370938537,0.16790342330932617
5,47,l1,43,0.9355032040938638,0.9371089586133383,0.9979271542789458,0.9665622983340902,0.6949560477824475,0.2826540470123291
5,47,rf_topk,10,0.9352265916739662,0.9368079684966412,0.9979765077484947,0.9664253112528974,0.6692842828229411,0.03228902816772461
5,47,rf_median,23,0.9352726937439491,0.936891854323047,0.9979271542789458,0.9664468024089475,0.6852829749732665,0.11816620826721191
6,48,baseline,46,0.9355954082338297,0.9367504746029541,0.9984700424439839,0.966626054134117,0.7081363598027491,3.1250691413879395
6,48,variance_threshold,43,0.9356876123737956,0.9367967773301847,0.9985193959135327,0.9666738335841755,0.7022108351207993,2.9572930335998535
6,48,chi2,10,0.9341201419943755,0.9341201419943755,1.0,0.9659380735585059,0.6566874227535313,0.0457301139831543
6,48,mutual_info,10,0.9356415103038126,0.9367129629629629,0.9985687493830816,0.9666523338588696,0.6218517131663384,0.09514594078063965
6,48,rfe,10,0.9342123461343415,0.9342062796809443,1.0,0.9659841243355343,0.644779231811347,0.04661297798156738
6,48,rfecv,34,0.935410999953898,0.9366578691484928,0.998371335504886,0.9665304952339998,0.7067248643884774,0.23668503761291504
6,48,l1,45,0.9355954082338297,0.9367504746029541,0.9984700424439839,0.966626054134117,0.7081332514666684,0.32148194313049316
6,48,rf_topk,10,0.9358259185837444,0.93688646045564,0.9985687493830816,0.9667447082994888,0.6794379216587407,0.034475088119506836
6,48,rf_median,23,0.9356876123737956,0.9367967773301847,0.9985193959135327,0.9666738335841755,0.6975401111775834,0.1190798282623291
7,49,baseline,46,0.9362408372135909,0.9373986376905611,0.9984206889744349,0.9669478765862868,0.6980689772931905,3.1093130111694336
7,49,variance_threshold,44,0.9362869392835739,0.9373610081541883,0.9985193959135327,0.9669741432872915,0.6940836759928491,2.9180490970611572
7,49,chi2,10,0.9341201419943755,0.9341201419943755,1.0,0.9659380735585059,0.6335887384016756,0.041873931884765625
7,49,mutual_info,10,0.9363791434235397,0.9374478732276897,0.9985193959135327,0.9670203613421279,0.6280980008632886,0.0966792106628418
7,49,rfe,10,0.9342584482043244,0.9342894033016693,0.9999506465304511,0.9660055306570039,0.6305557967394108,0.04227495193481445
7,49,rfecv,34,0.9363330413535568,0.9374449747463046,0.9984700424439839,0.9669956743063356,0.6963561459644231,0.19414114952087402
7,49,l1,43,0.9362408372135909,0.9373986376905611,0.9984206889744349,0.9669478765862868,0.6981018911185789,0.2855260372161865
7,49,rf_topk,10,0.9363791434235397,0.9374073387694588,0.9985687493830816,0.9670219375806529,0.6668156768446714,0.03256821632385254
7,49,rf_median,23,0.9362408372135909,0.9373581059166937,0.9984700424439839,0.9669494563269208,0.6839469430516221,0.11332082748413086
8,50,baseline,46,0.9355954082338297,0.936588752603564,0.9986674563221795,0.9666324312704516,0.7051651013431535,2.9823970794677734
8,50,variance_threshold,43,0.9356415103038126,0.9365916874942146,0.9987168097917284,0.9666571128308016,0.7000348271789316,2.7182788848876953
8,50,chi2,10,0.9341201419943755,0.9341201419943755,1.0,0.9659380735585059,0.6522762448730587,0.04128885269165039
8,50,mutual_info,10,0.9355032040938638,0.9365020595177489,0.9986674563221795,0.9665862571353507,0.6209995628297988,0.10236692428588867
8,50,rfe,10,0.9341662440643584,0.9342432906022319,0.9999012930609021,0.965957852579384,0.6441319380910631,0.03999590873718262
8,50,rfecv,35,0.9356415103038126,0.9365916874942146,0.9987168097917284,0.9666571128308016,0.7043580046112511,0.2192699909210205
8,50,l1,42,0.9356415103038126,0.9365916874942146,0.9987168097917284,0.9666571128308016,0.7051704200515583,0.2766683101654053
8,50,rf_topk,10,0.9354571020238809,0.9364991206146441,0.9986181028526305,0.9665615744721505,0.6697331956271375,0.033965110778808594
8,50,rf_median,23,0.9356415103038126,0.9365916874942146,0.9987168097917284,0.9666571128308016,0.6914007675103451,0.09096813201904297
9,51,baseline,46,0.9358259185837444,0.9369673953316043,0.9984700424439839,0.9667415300807569,0.7117830942297609,3.4083571434020996
9,51,variance_threshold,43,0.9360103268636761,0.9369790701981848,0.9986674563221795,0.9668402694825362,0.7082288155326179,3.074202060699463
9,51,chi2,10,0.9341201419943755,0.9341201419943755,1.0,0.9659380735585059,0.6642286432617248,0.04067683219909668
9,51,mutual_info,10,0.9360564289336591,0.9369819882391073,0.9987168097917284,0.9668649513844095,0.635316696966036,0.130357027053833
9,51,rfe,10,0.9343967544142732,0.9343786027207748,1.0,0.9660762390635802,0.6451653216896445,0.042243242263793945
9,51,rfecv,30,0.936102531003642,0.9371468272348309,0.9985687493830816,0.9668833030679538,0.710617001949065,0.17126727104187012
