run_id,seed,method,n_features,accuracy,precision,recall,f1,roc_auc,training_time
13,55,l1,44,0.9356876123737956,0.9367967773301847,0.9985193959135327,0.9666738335841755,0.6977904013062195,0.29886913299560547
13,55,rf_topk,10,0.9358259185837444,0.936926924145596,0.9985193959135327,0.966743119266055,0.6763128005631476,0.03318977355957031
13,55,rf_median,23,0.9357337144437785,0.9367592592592593,0.9986181028526305,0.9667001098848598,0.6946985394066905,0.09733128547668457
14,56,baseline,46,0.936102531003642,0.9370658516254515,0.9986674563221795,0.9668864678899083,0.6950371753541552,3.2685890197753906
14,56,variance_threshold,43,0.9359181227237103,0.936892304843041,0.9986674563221795,0.9667940754897276,0.6930448355375927,3.1774020195007324
14,56,chi2,10,0.9341201419943755,0.9341201419943755,1.0,0.9659380735585059,0.6422874169236743,0.04207015037536621
14,56,mutual_info,10,0.9359642247936932,0.9369356855118767,0.9986674563221795,0.966817171934351,0.611552707813162,0.10405397415161133
14,56,rfe,10,0.9341201419943755,0.9342803117649772,0.9998025861218044,0.9659315770652044,0.6363344698100786,0.03929758071899414
14,56,rfecv,33,0.9361486330736251,0.9369878235103477,0.9988155167308261,0.9669143116504623,0.6923745055932435,0.1769568920135498
14,56,l1,44,0.936102531003642,0.9370658516254515,0.9986674563221795,0.9668864678899083,0.6949660635320409,0.29796600341796875
14,56,rf_topk,10,0.9359642247936932,0.9369356855118767,0.9986674563221795,0.966817171934351,0.6664781633519026,0.03495597839355469
14,56,rf_median,23,0.9358720206537273,0.9370107915335093,0.9984700424439839,0.9667646285809859,0.6834254333314063,0.09153175354003906
15,57,baseline,46,0.9352265916739662,0.9366056957629081,0.9982232750962393,0.9664333325369712,0.6913240606832854,3.1049389839172363
15,57,variance_threshold,43,0.9352265916739662,0.9366056957629081,0.9982232750962393,0.9664333325369712,0.6842555662873737,3.0398471355438232
15,57,chi2,10,0.9341201419943755,0.9341201419943755,1.0,0.9659380735585059,0.6393261914822059,0.03972625732421875
15,57,mutual_info,10,0.9351343875340002,0.9365593887473952,0.9981739216266904,0.9663855508039276,0.6226181770382517,0.11127495765686035
15,57,rfe,10,0.9342584482043244,0.9343294595093157,0.9999012930609021,0.966003909788776,0.6291515541093273,0.038788795471191406
15,57,rfecv,32,0.9353187958139321,0.936652002778421,0.9982726285657881,0.9664811142700146,0.6911291852795558,0.20496106147766113
15,57,l1,42,0.9351804896039833,0.9365623263567328,0.9982232750962393,0.9664102441588227,0.6914467363472727,0.28253889083862305
